ImageUrl,Genre,Title,Author,Year,Annotation,Rating
https://th.bing.com/th/id/R.83bf876a4e037b5baa3317cbbac13817?rik=n%2fXUY%2fX%2bHESkKA&pid=ImgRaw&r=0,"non-fiction, investigative journalism,cybersecurity",Countdown to Zero Day,Kim Zetter,2014,"A compelling exploration of cyber threats and their potential consequences. This book delves into the world of cyber warfare and its implications for global security.It explains really well concepts that reguals individuals are not familiar with, however a lot of times in leans into these concepts, even when they are not neccessary to understand the book.",
https://images.thenile.io/r1000/9780141978048.jpg,"non-fiction,philosophy, cognitive science.",From Bacteria to Bach and Back,Daniel C. Dennett,2017,"A fascinating read that made me reflect on the nature of communication and meaning. The book explores how our questions can shape our understanding. What stood out for me is how when we ask ""Why"", we might want the answer to    ""How come?"", not  ""What for?"" and vice versa.",
https://www.adrionltd.com/71635-thickbox_default/hide-mbi-kalldrem.jpg,"Fiction, Albanian",Hide Mbi Kalldrem,Tom Kuka,2012,"Written in a distinctive Albanian dialect, the book can be challenging to understand at times. The resolution of the story feels rushed, especially given the thorough build-up of the mystery throughout the book. Despite this, I enjoyed it.",
https://th.bing.com/th/id/OIP.HyHD1awcai-nyLZhwik1-QHaLH?rs=1&pid=ImgDetMain,historical non-fiction,The Graves Are Walking,John Kelly,2012,"One of the most harrowing accounts I’ve read, this book vividly describes the consequences of human inaction, ignorance, and lack of empathy during the potato famine. The stark descriptions are intense but necessary for understanding the tragedy.",
https://th.bing.com/th/id/OIP.cTrm1KlPQpUFzYaFXGzCPwAAAA?rs=1&pid=ImgDetMain,"Non-Fiction, literary criticism",A Room of One's Own,Virginia Woolf,1929,"I found this book deeply resonant. Initially, I thought it was guiding my thoughts and goals, but I realized it was more about creating a space for my own reflections and understanding. It helped me better comprehend myself.",
https://th.bing.com/th/id/OIP.ICmrO6rh7GAS9EP7jm2BbgHaK1?rs=1&pid=ImgDetMain,Non-Fiction,The Terracota Warriors,Maurice Cotterell,2007,"A detailed exploration of the Terracotta Army, offering insight into their historical significance and the story behind their creation.",
https://i5.walmartimages.com/asr/eb886f47-6b5f-428e-884c-6f160d9999ed_1.7154b77170294d89b3ea68faac6241b3.jpeg?odnWidth=1000&odnHeight=1000&odnBg=ffffff,Fiction,The Labyrinth Of Spirits,Carlos Ruiz Zafon,2016,,
https://th.bing.com/th/id/OIP.-VdMvQWKqs9drRbpyk94XgHaJX?rs=1&pid=ImgDetMain,Fiction,Tales of Mystery and Madness,Edgar Allan Poe,1908,Poe’s stories are masterfully unsettling and continue to captivate me with their dark allure.,
https://www.cinemaclock.com/images/posters/1000x1500/60/the-hypnotist-2012-us-poster.jpg,Fiction,The Hypnotist,Lars kepler,2009,,
https://th.bing.com/th/id/OIP.IbJw8RAKcEhUHUwCfnyLIQAAAA?rs=1&pid=ImgDetMain,"Contemporary fiction,French","Tant Pis, Je Fonce!",Elisa Brune,2015,A vibrant and engaging story that combines humor and emotional depth. It captures the complexities of life and relationships with a refreshing perspective.,
https://th.bing.com/th/id/OIP.z0_QYJ0JpQHLJhVCZ58MfgAAAA?rs=1&pid=ImgDetMain,"non-fiction, science",Reality is Not What it Seems,Carlo Rovelli,2014,Carlo Rovelli's exploration of quantum gravity and the nature of reality is both enlightening and thought-provoking. The book challenges our understanding of the universe and offers new perspectives on scientific concepts.,
